date,1. open,2. high,3. low,4. close,5. volume
2020-04-28 13:45:00,171.47,171.82,171.45,171.79,88048.0
2020-04-28 13:46:00,171.8,171.8,171.61,171.75,38294.0
2020-04-28 13:47:00,171.76,171.85,171.66,171.77,47700.0
2020-04-28 13:48:00,171.7704,171.82,171.73,171.755,38142.0
2020-04-28 13:49:00,171.74,171.78,171.66,171.7158,28945.0
2020-04-28 13:50:00,171.7,171.76,171.64,171.67,28609.0
2020-04-28 13:51:00,171.67,171.73,171.62,171.69,33947.0
2020-04-28 13:52:00,171.67,171.71,171.62,171.6342,24924.0
2020-04-28 13:53:00,171.58,171.66,171.55,171.64,33953.0
2020-04-28 13:54:00,171.64,171.65,171.55,171.62,37116.0
2020-04-28 13:55:00,171.6,171.64,171.55,171.55,28747.0
2020-04-28 13:56:00,171.5457,171.6,171.465,171.53,37294.0
2020-04-28 13:57:00,171.5299,171.6022,171.46,171.55,47613.0
2020-04-28 13:58:00,171.55,171.58,171.52,171.54,26235.0
2020-04-28 13:59:00,171.5598,171.58,171.41,171.44,34158.0
2020-04-28 14:00:00,171.44,171.5,171.4,171.46,34569.0
2020-04-28 14:01:00,171.44,171.56,171.44,171.55,28022.0
2020-04-28 14:02:00,171.56,171.645,171.52,171.6099,29175.0
2020-04-28 14:03:00,171.6,171.67,171.55,171.56,28949.0
2020-04-28 14:04:00,171.576,171.675,171.54,171.6648,48452.0
2020-04-28 14:05:00,171.66,171.83,171.645,171.7615,40012.0
2020-04-28 14:06:00,171.75,171.7899,171.7,171.7,29688.0
2020-04-28 14:07:00,171.71,171.7601,171.66,171.73,35070.0
2020-04-28 14:08:00,171.72,171.75,171.6766,171.6914,18060.0
2020-04-28 14:09:00,171.7,171.84,171.69,171.77,24079.0
2020-04-28 14:10:00,171.76,171.79,171.68,171.71,60053.0
2020-04-28 14:11:00,171.71,171.81,171.68,171.73,46870.0
2020-04-28 14:12:00,171.725,171.87,171.7212,171.78,36080.0
2020-04-28 14:13:00,171.79,171.855,171.775,171.83,23828.0
2020-04-28 14:14:00,171.83,171.84,171.77,171.81,34099.0
2020-04-28 14:15:00,171.805,171.82,171.73,171.79,36731.0
2020-04-28 14:16:00,171.77,171.83,171.74,171.76,18745.0
2020-04-28 14:17:00,171.775,171.78,171.6993,171.72,31837.0
2020-04-28 14:18:00,171.71,171.78,171.66,171.68,28148.0
2020-04-28 14:19:00,171.6827,171.7979,171.63,171.76,26072.0
2020-04-28 14:20:00,171.76,171.77,171.65,171.69,35222.0
2020-04-28 14:21:00,171.6899,171.75,171.66,171.7,33038.0
2020-04-28 14:22:00,171.71,171.71,171.58,171.695,30672.0
2020-04-28 14:23:00,171.69,171.7,171.61,171.645,17390.0
2020-04-28 14:24:00,171.64,171.67,171.56,171.6203,29049.0
2020-04-28 14:25:00,171.63,171.69,171.54,171.62,28503.0
2020-04-28 14:26:00,171.6,171.67,171.59,171.63,48603.0
2020-04-28 14:27:00,171.63,171.68,171.61,171.64,25122.0
2020-04-28 14:28:00,171.64,171.64,171.45,171.47,40589.0
2020-04-28 14:29:00,171.46,171.4899,171.4,171.46,39317.0
2020-04-28 14:30:00,171.45,171.45,171.38,171.4361,31129.0
2020-04-28 14:31:00,171.43,171.56,171.43,171.46,36026.0
2020-04-28 14:32:00,171.47,171.525,171.4,171.43,39563.0
2020-04-28 14:33:00,171.43,171.475,171.34,171.46,68770.0
2020-04-28 14:34:00,171.455,171.46,171.365,171.41,29841.0
2020-04-28 14:35:00,171.41,171.48,171.29,171.34,49994.0
2020-04-28 14:36:00,171.34,171.38,171.26,171.29,50859.0
